Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Test loss,Test accuracy
0,209.8436894416809,0.13425699900299481,2.2592039762669014,0.46735044785668584,1.0941529870033264,0.6233027156549521
1,210.25458359718323,0.134519887138313,0.9788364145859494,0.6548704414587332,0.8084765929764453,0.7185503194888179
2,208.09144282341003,0.1331359199126104,0.7677511498093681,0.731565898912348,0.6795229294810432,0.7691693290734825
3,208.20841693878174,0.13321075939781302,0.6520947394695941,0.7720529430582214,0.5990433360155398,0.7970247603833865
4,209.5405924320221,0.13406307897122335,0.5634060792257903,0.80316298784389,0.5568430033354713,0.8145966453674122
5,208.7108461856842,0.1335322112512375,0.5105137410677936,0.8217370441458733,0.5151777188427532,0.8248801916932907
6,208.57404828071594,0.13344468859930642,0.4686434578653413,0.8347528790786948,0.49737539980262996,0.8355630990415336
7,208.71762084960938,0.13353654564914227,0.4365611271748006,0.8478886756238004,0.4854649800224045,0.8396565495207667
8,207.93544721603394,0.13303611466157,0.4066130726890768,0.8576455534229047,0.4588402237136143,0.8461461661341853
9,207.51016092300415,0.13276401850480113,0.3864236557075631,0.8637036148432502,0.45237276688837014,0.8479432907348243
10,210.00977516174316,0.13436325986036032,0.3659073734156649,0.8711812220089571,0.44636848439185767,0.8540335463258786
11,208.59534740447998,0.13345831567785027,0.3439396402190224,0.8800783749200256,0.43382429057797683,0.8579273162939297
12,209.50795078277588,0.13404219499857703,0.33426073048161303,0.8810780550223928,0.4244170927296812,0.8629193290734825
13,210.05861234664917,0.13439450566004427,0.32617028234544393,0.8846968969929623,0.4247418487914644,0.8642172523961661
14,209.12877011299133,0.13379959700127406,0.3103662276460586,0.8911348368522073,0.4074201136589431,0.8708067092651757
15,209.0396807193756,0.1337425980290311,0.2980759812260353,0.8957933461292387,0.41699676855970114,0.8667132587859425
16,209.37695813179016,0.13395838652065908,0.2870312810149127,0.8984325015994882,0.3998927172547141,0.8686102236421726
17,208.0359981060028,0.13310044664491544,0.2809221686703592,0.9005318298144593,0.417478115759052,0.8710063897763578
18,209.73284697532654,0.13418608251780328,0.2711573250887299,0.9050703774792066,0.3952523428506364,0.8740015974440895
19,208.5287892818451,0.1334157321061069,0.2602828735973083,0.908109404990403,0.39932011960508723,0.8757987220447284
20,209.81574964523315,0.1342391232535081,0.2557306584847885,0.9099488163787588,0.3975577480591143,0.875
21,209.6706862449646,0.13414631237681676,0.24934879640475993,0.9118881957773513,0.38959381021202183,0.8773961661341853
22,209.91713690757751,0.13430399034393956,0.2424147490350028,0.9154070697376839,0.39114858355884924,0.8783945686900958
23,209.4713864326477,0.13401880130047839,0.2369952620134015,0.9155670185540628,0.38260922469079683,0.8808905750798722
24,209.3602705001831,0.13394770985296423,0.23611731664232924,0.9154270633397313,0.40331646058553705,0.8766972843450479
25,209.04940462112427,0.13374881933533223,0.22162869297711613,0.9215451055662188,0.39232370934594935,0.8814896166134185
26,209.2078514099121,0.13385019284063474,0.22108052979847292,0.9220249520153551,0.39880623269719057,0.880491214057508
27,209.44854164123535,0.13400418531109107,0.21731412503808756,0.9237643953934741,0.3911840077549124,0.8831869009584664
28,208.2629325389862,0.13324563822072055,0.21268081676598666,0.9247840690978887,0.3818818457906667,0.8855830670926518
29,209.72058248519897,0.13417823575508572,0.20764905653812912,0.9257437619961613,0.3948842805271712,0.8853833865814696
30,210.2630455493927,0.13452530105527363,0.20960552029738289,0.9250239923224568,0.3811576104166504,0.884285143769968
31,209.2462513446808,0.13387476093709583,0.20416923420192698,0.9265834932821497,0.3922728919111692,0.8819888178913738
32,209.86483216285706,0.13427052601590342,0.1982183368341498,0.9283829174664108,0.38667773483350826,0.8852835463258786
33,210.30358457565308,0.13455123773234362,0.19487764290042378,0.9304022712731925,0.3926608333477197,0.8853833865814696
34,210.1215362548828,0.13443476407861985,0.1915466348585206,0.9312020153550864,0.39286450562647546,0.8861821086261981
35,209.60408782958984,0.1341037030259692,0.18672012179072228,0.9332613563659629,0.39725056101684086,0.884185303514377
36,209.83850955963135,0.1342536849389836,0.1869836447346939,0.9333413307741523,0.39401266791116885,0.8882787539936102
37,208.1571867465973,0.13317798256340196,0.1801441984199898,0.9353206973768394,0.3871318577244259,0.8898761980830671
38,210.06356048583984,0.13439767145607157,0.18086643366712746,0.9354206653870761,0.3892222638762654,0.8876797124600639
39,209.9281849861145,0.13431105885228056,0.1786830422688354,0.9367602367242482,0.3931450629279541,0.8908746006389776
40,209.3546085357666,0.13394408735493704,0.17234538621742873,0.938139795265515,0.3972421810953333,0.8887779552715654
41,210.6297948360443,0.13475994551250436,0.16996926584123723,0.9383797184900832,0.40145145805058674,0.8865814696485623
42,209.38405871391296,0.13396292943948365,0.1670246016227009,0.9401991362763915,0.40359993512852316,0.8876797124600639
43,210.20869493484497,0.13449052778940818,0.1663059322360095,0.9396393154190659,0.40064261305761845,0.8890774760383386
44,209.8896608352661,0.13428641128295976,0.16660167134151826,0.93975927703135,0.4048275597893392,0.8872803514376997
45,208.46243357658386,0.13337327804004087,0.16169344866976038,0.9430182341650671,0.40138739129058276,0.8882787539936102
46,209.25548458099365,0.13388066831797418,0.15762088662853568,0.943178182981446,0.4030035062315175,0.8883785942492013
47,209.41439151763916,0.13398233622369748,0.15716702971245167,0.943118202175304,0.3921121395112703,0.8898761980830671
48,209.82546830177307,0.13424534120394951,0.1590152531159149,0.9433181381957774,0.38630470244315107,0.8928714057507987
49,210.1120777130127,0.13442871254831268,0.15391639699314508,0.9433981126039668,0.4040976433476177,0.8892771565495208
50,208.54487466812134,0.13342602346009041,0.15011048905124802,0.945037587971849,0.39685583987032264,0.8903753993610224
51,209.64589071273804,0.13413044831269227,0.14848315880961016,0.9461572296865003,0.40151761864987423,0.8892771565495208
52,209.80398154258728,0.13423159407715118,0.14990308050421364,0.9456373960332694,0.3910249426853828,0.8875798722044729
53,209.1224045753479,0.13379552436042733,0.14964599902839928,0.9467370441458733,0.39369655019207933,0.8925718849840255
54,208.93617796897888,0.13367637745935948,0.14646717574732213,0.946896992962252,0.3964331981996759,0.891473642172524
55,210.55142736434937,0.13470980637514354,0.1437568736244148,0.9472768714011516,0.421315221092143,0.8885782747603834
56,208.34174156188965,0.13329605986045404,0.14592081230650378,0.9459772872680742,0.39981259136332775,0.8929712460063898
57,209.25950026512146,0.13388323753366696,0.13972544930732295,0.9500959692898272,0.40945039791599536,0.893470447284345
58,210.708881855011,0.13481054501280293,0.1408704558291466,0.9484764875239923,0.41487869046949827,0.8908746006389776
59,209.31320452690125,0.13391759726609165,0.13808476828903876,0.9508957133717211,0.40022668759591473,0.8926717252396166
60,209.60988521575928,0.13410741216619276,0.1318161284863253,0.9528350927703135,0.4117343095681681,0.8944688498402555
61,210.13389897346497,0.1344426736874376,0.1352131718561716,0.9515954894433781,0.41286319016684264,0.8920726837060703
62,208.73298263549805,0.1335463740470237,0.13780717650232974,0.949556142034549,0.40647188012901775,0.8912739616613419
63,209.6051287651062,0.13410436901158426,0.129275973983227,0.9538547664747281,0.4011191590823019,0.8935702875399361
64,209.63238763809204,0.1341218091094639,0.12715625414036105,0.9549344209852847,0.4032863547710089,0.8945686900958466
65,209.4499249458313,0.13400507034282233,0.1299691595696032,0.9532349648112604,0.4115359864402979,0.8910742811501597
66,209.26741671562195,0.13388830244121686,0.1270404529161346,0.9557141714651312,0.4035852709576821,0.8939696485623003
67,208.96038460731506,0.13369186475196101,0.1276149673420776,0.9534748880358286,0.4139702701792359,0.8917731629392971
68,208.9255735874176,0.13366959282624286,0.12455925896944942,0.9547544785668586,0.4143795468383275,0.895167731629393
69,208.93214011192322,0.13367379405753244,0.1265742456901256,0.9538547664747281,0.421182180222231,0.8945686900958466
